"Step","vague-yogurt-24 - ae","vague-yogurt-24 - ae__MIN","vague-yogurt-24 - ae__MAX"
"5000","0.0029248616192489862","0.0029248616192489862","0.0029248616192489862"
"10000","0.003353568259626627","0.003353568259626627","0.003353568259626627"
"15000","0.0029057979118078947","0.0029057979118078947","0.0029057979118078947"
"20000","0.0027680706698447466","0.0027680706698447466","0.0027680706698447466"
"25000","0.00289994222112","0.00289994222112","0.00289994222112"
"30000","0.0026509654708206654","0.0026509654708206654","0.0026509654708206654"
"35000","0.0029556811787188053","0.0029556811787188053","0.0029556811787188053"
"40000","0.0030233548022806644","0.0030233548022806644","0.0030233548022806644"
"45000","0.002980643417686224","0.002980643417686224","0.002980643417686224"
"50000","0.0032322665210813284","0.0032322665210813284","0.0032322665210813284"
"55000","0.0028382372111082077","0.0028382372111082077","0.0028382372111082077"
"60000","0.0030631115660071373","0.0030631115660071373","0.0030631115660071373"
"65000","0.0026743810158222914","0.0026743810158222914","0.0026743810158222914"
"70000","0.0029368505347520113","0.0029368505347520113","0.0029368505347520113"
"75000","0.0023879033979028463","0.0023879033979028463","0.0023879033979028463"
"80000","0.002746193902567029","0.002746193902567029","0.002746193902567029"
"85000","0.002676690462976694","0.002676690462976694","0.002676690462976694"
"90000","0.002499894704669714","0.002499894704669714","0.002499894704669714"
"95000","0.0025052791461348534","0.0025052791461348534","0.0025052791461348534"
"100000","0.0022631315514445305","0.0022631315514445305","0.0022631315514445305"
"105000","0.002327725989744067","0.002327725989744067","0.002327725989744067"
"110000","0.0022988326381891966","0.0022988326381891966","0.0022988326381891966"
"115000","0.0022682195995002985","0.0022682195995002985","0.0022682195995002985"
"120000","0.002218125853687525","0.002218125853687525","0.002218125853687525"
"125000","0.002572291065007448","0.002572291065007448","0.002572291065007448"
"130000","0.0021458787377923727","0.0021458787377923727","0.0021458787377923727"
"135000","0.002289828611537814","0.002289828611537814","0.002289828611537814"
"140000","0.002131396671757102","0.002131396671757102","0.002131396671757102"
"145000","0.0021165942307561636","0.0021165942307561636","0.0021165942307561636"
"150000","0.0020272070541977882","0.0020272070541977882","0.0020272070541977882"
"155000","0.0023271236568689346","0.0023271236568689346","0.0023271236568689346"
"160000","0.0019701046403497458","0.0019701046403497458","0.0019701046403497458"
"165000","0.002199888462200761","0.002199888462200761","0.002199888462200761"
