"Step","forgotten-destroyer-102 - ae","forgotten-destroyer-102 - ae__MIN","forgotten-destroyer-102 - ae__MAX","main3D_percentages - ae","main3D_percentages - ae__MIN","main3D_percentages - ae__MAX","coarseG_false-l1_true - ae","coarseG_false-l1_true - ae__MIN","coarseG_false-l1_true - ae__MAX"
"5000","","","","0.001170555828139186","0.001170555828139186","0.001170555828139186","","",""
"10000","","","","0.0005180431180633605","0.0005180431180633605","0.0005180431180633605","","",""
"15000","","","","0.0003935453714802861","0.0003935453714802861","0.0003935453714802861","","",""
"20000","","","","0.00031466002110391855","0.00031466002110391855","0.00031466002110391855","","",""
"25000","","","","0.00032194689265452325","0.00032194689265452325","0.00032194689265452325","","",""
"30000","","","","0.0002478474925737828","0.0002478474925737828","0.0002478474925737828","","",""
"35000","","","","0.00019635532225947827","0.00019635532225947827","0.00019635532225947827","","",""
"40000","","","","0.00035383825888857245","0.00035383825888857245","0.00035383825888857245","","",""
"45000","","","","0.00018979182641487569","0.00018979182641487569","0.00018979182641487569","","",""
"50000","","","","0.00012715472257696092","0.00012715472257696092","0.00012715472257696092","","",""
"55000","","","","0.00014814235328231007","0.00014814235328231007","0.00014814235328231007","","",""
"60000","","","","0.00016809289809316397","0.00016809289809316397","0.00016809289809316397","","",""
"65000","","","","0.00012468617933336645","0.00012468617933336645","0.00012468617933336645","","",""
"70000","","","","0.00010472931899130344","0.00010472931899130344","0.00010472931899130344","","",""
"75000","","","","0.0001381008478347212","0.0001381008478347212","0.0001381008478347212","","",""
"80000","0.00010416825534775853","0.00010416825534775853","0.00010416825534775853","0.0001067623816197738","0.0001067623816197738","0.0001067623816197738","","",""
"85000","0.00011263903434155509","0.00011263903434155509","0.00011263903434155509","0.00007108764839358628","0.00007108764839358628","0.00007108764839358628","","",""
"90000","0.00009732673061080277","0.00009732673061080277","0.00009732673061080277","0.00010661686246749014","0.00010661686246749014","0.00010661686246749014","","",""
"95000","0.00010765105980681255","0.00010765105980681255","0.00010765105980681255","0.00009047793719219044","0.00009047793719219044","0.00009047793719219044","","",""
"100000","0.0001242824801011011","0.0001242824801011011","0.0001242824801011011","","","","0.0018806869629770517","0.0018806869629770517","0.0018806869629770517"
"105000","0.00006851184298284352","0.00006851184298284352","0.00006851184298284352","","","","0.0018318736692890525","0.0018318736692890525","0.0018318736692890525"
"110000","0.00009248577407561243","0.00009248577407561243","0.00009248577407561243","","","","0.0019032183336094022","0.0019032183336094022","0.0019032183336094022"
"115000","0.00009076204150915146","0.00009076204150915146","0.00009076204150915146","","","","0.0018066115444526076","0.0018066115444526076","0.0018066115444526076"
"120000","0.00005585610415437259","0.00005585610415437259","0.00005585610415437259","","","","0.002045796485617757","0.002045796485617757","0.002045796485617757"
"125000","0.00006869335629744455","0.00006869335629744455","0.00006869335629744455","","","","0.0017950613982975483","0.0017950613982975483","0.0017950613982975483"
"130000","0.0001407871168339625","0.0001407871168339625","0.0001407871168339625","","","","0.0018284866819158196","0.0018284866819158196","0.0018284866819158196"
"135000","0.0000793829676695168","0.0000793829676695168","0.0000793829676695168","","","","0.0017735775327309966","0.0017735775327309966","0.0017735775327309966"
"140000","0.0000734168934286572","0.0000734168934286572","0.0000734168934286572","","","","0.0018571479013189673","0.0018571479013189673","0.0018571479013189673"
"145000","0.0000774771033320576","0.0000774771033320576","0.0000774771033320576","","","","0.0018441546708345413","0.0018441546708345413","0.0018441546708345413"
"150000","0.00011427902791183442","0.00011427902791183442","0.00011427902791183442","","","","0.0017016124911606312","0.0017016124911606312","0.0017016124911606312"
"155000","0.00004644319415092468","0.00004644319415092468","0.00004644319415092468","","","","0.0018181329360231757","0.0018181329360231757","0.0018181329360231757"
"160000","0.00010292140359524637","0.00010292140359524637","0.00010292140359524637","","","","0.0018791098846122622","0.0018791098846122622","0.0018791098846122622"
"165000","0.00006626546382904053","0.00006626546382904053","0.00006626546382904053","","","","0.0017775616142898798","0.0017775616142898798","0.0017775616142898798"
"170000","0.00007521470979554579","0.00007521470979554579","0.00007521470979554579","","","","0.001786503940820694","0.001786503940820694","0.001786503940820694"
"175000","0.000058021618315251544","0.000058021618315251544","0.000058021618315251544","","","","0.0017790189012885094","0.0017790189012885094","0.0017790189012885094"
"180000","0.00006575544830411673","0.00006575544830411673","0.00006575544830411673","","","","0.0018014010274782777","0.0018014010274782777","0.0018014010274782777"
"185000","0.00008352516306331381","0.00008352516306331381","0.00008352516306331381","","","","0.0016457162564620376","0.0016457162564620376","0.0016457162564620376"
"190000","0.00006581613706657663","0.00006581613706657663","0.00006581613706657663","","","","0.0017309602117165923","0.0017309602117165923","0.0017309602117165923"
"195000","0.00005159402280696668","0.00005159402280696668","0.00005159402280696668","","","","0.0018026179168373346","0.0018026179168373346","0.0018026179168373346"
"200000","0.00005476971637108363","0.00005476971637108363","0.00005476971637108363","","","","0.0017443542601540685","0.0017443542601540685","0.0017443542601540685"
"205000","0.00005222925392445177","0.00005222925392445177","0.00005222925392445177","","","","0.0016850392566993833","0.0016850392566993833","0.0016850392566993833"
"210000","0.00007593270856887102","0.00007593270856887102","0.00007593270856887102","","","","0.0017196746775880456","0.0017196746775880456","0.0017196746775880456"
